Mass (u)	P1_SQ0	P2_SQ0	P3_SQ0	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5
73.00898	8.31E-03	8.04E-03	8.28E-03	6.64E-03	3.10E-03	4.79E-03	7.42E-03	8.67E-03	6.79E-03	3.24E-03	4.29E-03	7.18E-03	7.56E-03	6.68E-03	3.31E-03	4.59E-03	7.25E-03	8.90E-03
73.22988	1.31E-04	1.17E-04	1.32E-04	6.89E-05	3.52E-05	4.87E-05	1.01E-04	1.19E-04	7.36E-05	3.21E-05	4.68E-05	1.02E-04	1.07E-04	7.17E-05	2.93E-05	4.99E-05	9.67E-05	1.12E-04
73.98269	1.80E-04	1.78E-04	2.04E-04	1.21E-04	6.14E-05	5.17E-05	5.48E-05	6.19E-05	8.06E-05	7.12E-05	1.00E-04	6.43E-05	7.07E-05	7.69E-05	6.14E-05	5.64E-05	7.30E-05	6.63E-05
74.01325	9.21E-04	8.98E-04	9.26E-04	1.07E-03	4.58E-04	6.38E-04	9.36E-04	1.12E-03	9.86E-04	4.30E-04	5.35E-04	8.90E-04	9.79E-04	9.87E-04	4.28E-04	5.94E-04	9.09E-04	1.08E-03
74.99015	2.81E-03	2.92E-03	3.08E-03	1.68E-04	7.17E-04	7.20E-04	7.59E-04	7.80E-04	1.57E-04	8.24E-04	7.74E-04	7.48E-04	6.86E-04	1.43E-04	8.87E-04	7.93E-04	7.89E-04	7.84E-04
75.0252	1.62E-03	1.69E-03	1.69E-03	3.19E-04	5.21E-04	7.80E-04	1.15E-03	1.32E-03	2.55E-04	6.01E-04	6.57E-04	1.15E-03	1.22E-03	3.01E-04	5.87E-04	7.71E-04	1.19E-03	1.36E-03
75.95863	8.60E-05	8.11E-05	8.88E-05	1.69E-02	1.38E-04	4.87E-05	3.32E-05	2.70E-05	1.78E-02	8.50E-05	1.91E-04	4.16E-05	3.60E-05	1.80E-02	8.49E-05	6.29E-05	2.77E-05	3.52E-05
75.97238	1.96E-04	1.74E-04	1.84E-04	1.18E-02	9.04E-04	4.67E-04	3.54E-04	2.91E-04	1.20E-02	5.72E-04	4.10E-04	3.35E-04	3.07E-04	1.16E-02	5.92E-04	5.09E-04	4.03E-04	3.19E-04
75.99232	2.93E-04	3.03E-04	3.14E-04	1.33E-03	2.69E-04	2.31E-04	2.73E-04	2.75E-04	1.46E-03	2.54E-04	1.98E-04	2.81E-04	2.62E-04	1.34E-03	2.60E-04	2.69E-04	2.80E-04	2.93E-04
76.03228	3.96E-04	4.33E-04	4.08E-04	5.80E-05	9.54E-05	1.27E-04	1.69E-04	2.11E-04	5.56E-05	1.06E-04	1.06E-04	1.67E-04	1.80E-04	5.05E-05	1.09E-04	1.15E-04	1.72E-04	2.00E-04
