Mass (u)	P1_SQ1	P1_SQ2	P1_SQ3	P1_SQ4	P1_SQ5	P2_SQ1	P2_SQ2	P2_SQ3	P2_SQ4	P2_SQ5	P3_SQ1	P3_SQ2	P3_SQ3	P3_SQ4	P3_SQ5	P1_SQ0	P2_SQ0	P3_SQ0
78.99862	1.76E-04	2.33E-04	2.63E-04	3.28E-04	3.15E-04	1.92E-04	2.95E-04	3.10E-04	3.46E-04	3.04E-04	1.75E-04	2.82E-04	3.24E-04	3.47E-04	3.37E-04	2.52E-04	2.78E-04	2.78E-04
79.02046	3.20E-05	2.23E-04	3.85E-04	6.06E-04	7.11E-04	2.77E-05	2.80E-04	3.08E-04	5.95E-04	6.78E-04	3.33E-05	2.70E-04	3.56E-04	6.10E-04	7.33E-04	5.14E-04	5.37E-04	5.24E-04
82.00682	1.29E-05	1.01E-04	1.61E-04	2.36E-04	2.61E-04	1.72E-05	1.36E-04	1.50E-04	2.38E-04	2.83E-04	1.10E-05	1.28E-04	1.60E-04	2.52E-04	2.83E-04	6.97E-04	7.69E-04	7.47E-04
82.97191	5.74E-05	1.13E-03	1.16E-03	1.25E-03	1.29E-03	5.48E-05	9.92E-04	1.02E-03	1.24E-03	1.09E-03	5.64E-05	1.04E-03	1.08E-03	1.24E-03	1.30E-03	1.00E-03	8.65E-04	9.21E-04
83.01542	7.17E-06	1.54E-04	2.43E-04	3.58E-04	4.35E-04	8.61E-06	1.96E-04	2.40E-04	3.76E-04	4.45E-04	9.52E-06	1.99E-04	2.43E-04	3.74E-04	4.64E-04	5.46E-04	6.32E-04	5.79E-04
83.99999	1.88E-03	3.46E-04	4.88E-04	7.81E-04	8.86E-04	1.90E-03	3.04E-04	4.01E-04	7.36E-04	7.63E-04	1.88E-03	2.95E-04	4.69E-04	7.58E-04	9.34E-04	6.09E-04	5.36E-04	5.61E-04
84.98746	5.34E-04	5.68E-04	7.18E-04	9.03E-04	1.01E-03	5.25E-04	5.75E-04	8.50E-04	9.43E-04	8.95E-04	5.42E-04	6.09E-04	6.86E-04	8.92E-04	1.05E-03	1.41E-03	1.41E-03	1.49E-03
85.00771	1.07E-03	4.40E-04	6.82E-04	1.07E-03	1.27E-03	1.08E-03	4.54E-04	5.37E-04	1.04E-03	1.09E-03	1.05E-03	4.41E-04	6.81E-04	1.04E-03	1.26E-03	1.00E-03	9.60E-04	1.00E-03
86.01665	7.55E-04	4.51E-04	7.45E-04	1.20E-03	1.50E-03	6.79E-04	4.56E-04	6.41E-04	1.21E-03	1.30E-03	7.18E-04	4.31E-04	7.07E-04	1.22E-03	1.50E-03	1.27E-03	1.27E-03	1.30E-03
86.9603	8.82E-05	3.21E-04	3.43E-04	3.67E-04	3.76E-04	8.30E-05	3.42E-04	3.58E-04	3.77E-04	3.41E-04	7.25E-05	3.36E-04	3.58E-04	3.65E-04	3.51E-04	4.30E-04	3.86E-04	4.13E-04
