formula,mass,charge,description,chemical_class,alucone_relevance
[C3H31O3Al+H]+,143.216135,positive,Protonated,Al-organic_hybrid,High
C3H32O3Al+,143.216135,positive,Molecular ion,Al-organic_hybrid,High
[C3H33O3Al-H]+,143.216135,positive,Hydrogen loss,Al-organic_hybrid,High
C3H32O3Al-,143.21723300000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H33O3Al-H]-,143.21723300000002,negative,Deprotonated,Al-organic_hybrid,High
[C7H31Al+H]+,143.23139,positive,Protonated,Al-organic_hybrid,High
C7H32Al+,143.23139,positive,Molecular ion,Al-organic_hybrid,High
[C7H33Al-H]+,143.23139,positive,Hydrogen loss,Al-organic_hybrid,High
C7H32Al-,143.23248800000002,negative,Molecular anion,Al-organic_hybrid,High
[C7H33Al-H]-,143.23248800000002,negative,Deprotonated,Al-organic_hybrid,High
[H35O5Al+H]+,143.23726499999998,positive,Protonated,Aluminum_oxide,High
H36O5Al+,143.237265,positive,Molecular ion,Aluminum_oxide,High
[H37O5Al-H]+,143.237265,positive,Hydrogen loss,Aluminum_oxide,High
H36O5Al-,143.23836300000002,negative,Molecular anion,Aluminum_oxide,High
[H37O5Al-H]-,143.23836300000002,negative,Deprotonated,Aluminum_oxide,High
[C2H37Al3+H]+,143.241418,positive,Protonated,Al-organic_hybrid,High
C2H38Al3+,143.241418,positive,Molecular ion,Al-organic_hybrid,High
[C2H39Al3-H]+,143.241418,positive,Hydrogen loss,Al-organic_hybrid,High
C2H38Al3-,143.24251600000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H39Al3-H]-,143.24251600000002,negative,Deprotonated,Al-organic_hybrid,High
[C3H36OAl2+H]+,143.246969,positive,Protonated,Al-organic_hybrid,High
C3H37OAl2+,143.246969,positive,Molecular ion,Al-organic_hybrid,High
[C3H38OAl2-H]+,143.246969,positive,Hydrogen loss,Al-organic_hybrid,High
C3H37OAl2-,143.24806700000002,negative,Molecular anion,Al-organic_hybrid,High
[C3H38OAl2-H]-,143.24806700000002,negative,Deprotonated,Al-organic_hybrid,High
