formula,mass,charge,description,chemical_class,alucone_relevance
C7H24Al3-,189.132966,negative,Molecular anion,Al-organic_hybrid,High
[C7H25Al3-H]-,189.132966,negative,Deprotonated,Al-organic_hybrid,High
[C8H22OAl2+H]+,189.137419,positive,Protonated,Al-organic_hybrid,High
C8H23OAl2+,189.137419,positive,Molecular ion,Al-organic_hybrid,High
[C8H24OAl2-H]+,189.137419,positive,Hydrogen loss,Al-organic_hybrid,High
[H27O5Al3+H]+,189.137743,positive,Protonated,Aluminum_oxide,High
H28O5Al3+,189.137743,positive,Molecular ion,Aluminum_oxide,High
[H29O5Al3-H]+,189.137743,positive,Hydrogen loss,Aluminum_oxide,High
C8H23OAl2-,189.138517,negative,Molecular anion,Al-organic_hybrid,High
[C8H24OAl2-H]-,189.138517,negative,Deprotonated,Al-organic_hybrid,High
H28O5Al3-,189.138841,negative,Molecular anion,Aluminum_oxide,High
[H29O5Al3-H]-,189.138841,negative,Deprotonated,Aluminum_oxide,High
[C2H29Al5+H]+,189.141896,positive,Protonated,Al-organic_hybrid,High
C2H30Al5+,189.141896,positive,Molecular ion,Al-organic_hybrid,High
[C2H31Al5-H]+,189.14189600000003,positive,Hydrogen loss,Al-organic_hybrid,High
[C9H21O2Al+H]+,189.14297,positive,Protonated,Al-organic_hybrid,High
C9H22O2Al+,189.14297,positive,Molecular ion,Al-organic_hybrid,High
[C9H23O2Al-H]+,189.14297000000002,positive,Hydrogen loss,Al-organic_hybrid,High
C2H30Al5-,189.14299400000002,negative,Molecular anion,Al-organic_hybrid,High
[C2H31Al5-H]-,189.14299400000004,negative,Deprotonated,Al-organic_hybrid,High
[CH26O6Al2+H]+,189.143294,positive,Protonated,Al-organic_hybrid,High
CH27O6Al2+,189.143294,positive,Molecular ion,Al-organic_hybrid,High
[CH28O6Al2-H]+,189.143294,positive,Hydrogen loss,Al-organic_hybrid,High
C9H22O2Al-,189.144068,negative,Molecular anion,Al-organic_hybrid,High
[C9H23O2Al-H]-,189.14406800000003,negative,Deprotonated,Al-organic_hybrid,High
CH27O6Al2-,189.144392,negative,Molecular anion,Al-organic_hybrid,High
[CH28O6Al2-H]-,189.144392,negative,Deprotonated,Al-organic_hybrid,High
[C3H28OAl4+H]+,189.147447,positive,Protonated,Al-organic_hybrid,High
C3H29OAl4+,189.147447,positive,Molecular ion,Al-organic_hybrid,High
[C3H30OAl4-H]+,189.147447,positive,Hydrogen loss,Al-organic_hybrid,High
C3H29OAl4-,189.148545,negative,Molecular anion,Al-organic_hybrid,High
[C3H30OAl4-H]-,189.148545,negative,Deprotonated,Al-organic_hybrid,High
[C2H25O7Al+H]+,189.148845,positive,Protonated,Al-organic_hybrid,High
C2H26O7Al+,189.148845,positive,Molecular ion,Al-organic_hybrid,High
[C2H27O7Al-H]+,189.148845,positive,Hydrogen loss,Al-organic_hybrid,High
C2H26O7Al-,189.149943,negative,Molecular anion,Al-organic_hybrid,High
[C2H27O7Al-H]-,189.149943,negative,Deprotonated,Al-organic_hybrid,High
[C4H27O2Al3+H]+,189.152998,positive,Protonated,Al-organic_hybrid,High
C4H28O2Al3+,189.152998,positive,Molecular ion,Al-organic_hybrid,High
[C4H29O2Al3-H]+,189.152998,positive,Hydrogen loss,Al-organic_hybrid,High
C4H28O2Al3-,189.154096,negative,Molecular anion,Al-organic_hybrid,High
[C4H29O2Al3-H]-,189.154096,negative,Deprotonated,Al-organic_hybrid,High
[C5H26O3Al2+H]+,189.158549,positive,Protonated,Al-organic_hybrid,High
C5H27O3Al2+,189.158549,positive,Molecular ion,Al-organic_hybrid,High
[C5H28O3Al2-H]+,189.158549,positive,Hydrogen loss,Al-organic_hybrid,High
C5H27O3Al2-,189.159647,negative,Molecular anion,Al-organic_hybrid,High
[C5H28O3Al2-H]-,189.159647,negative,Deprotonated,Al-organic_hybrid,High
[C6H25O4Al+H]+,189.1641,positive,Protonated,Al-organic_hybrid,High
C6H26O4Al+,189.1641,positive,Molecular ion,Al-organic_hybrid,High
[C6H27O4Al-H]+,189.1641,positive,Hydrogen loss,Al-organic_hybrid,High
C6H26O4Al-,189.165198,negative,Molecular anion,Al-organic_hybrid,High
[C6H27O4Al-H]-,189.165198,negative,Deprotonated,Al-organic_hybrid,High
[H32O3Al4+H]+,189.168577,positive,Protonated,Aluminum_oxide,High
H33O3Al4+,189.168577,positive,Molecular ion,Aluminum_oxide,High
[H34O3Al4-H]+,189.16857700000003,positive,Hydrogen loss,Aluminum_oxide,High
H33O3Al4-,189.169675,negative,Molecular anion,Aluminum_oxide,High
[H34O3Al4-H]-,189.16967500000004,negative,Deprotonated,Aluminum_oxide,High
[C9H26Al2+H]+,189.173804,positive,Protonated,Al-organic_hybrid,High
C9H27Al2+,189.173804,positive,Molecular ion,Al-organic_hybrid,High
[C9H28Al2-H]+,189.173804,positive,Hydrogen loss,Al-organic_hybrid,High
[CH31O4Al3+H]+,189.174128,positive,Protonated,Al-organic_hybrid,High
[CH33O4Al3-H]+,189.174128,positive,Hydrogen loss,Al-organic_hybrid,High
CH32O4Al3+,189.17412800000002,positive,Molecular ion,Al-organic_hybrid,High
C9H27Al2-,189.174902,negative,Molecular anion,Al-organic_hybrid,High
[C9H28Al2-H]-,189.174902,negative,Deprotonated,Al-organic_hybrid,High
[CH33O4Al3-H]-,189.175226,negative,Deprotonated,Al-organic_hybrid,High
CH32O4Al3-,189.17522600000004,negative,Molecular anion,Al-organic_hybrid,High
[C10H25OAl+H]+,189.179355,positive,Protonated,Al-organic_hybrid,High
C10H26OAl+,189.179355,positive,Molecular ion,Al-organic_hybrid,High
[C10H27OAl-H]+,189.179355,positive,Hydrogen loss,Al-organic_hybrid,High
[C2H30O5Al2+H]+,189.179679,positive,Protonated,Al-organic_hybrid,High
C2H31O5Al2+,189.179679,positive,Molecular ion,Al-organic_hybrid,High
[C2H32O5Al2-H]+,189.179679,positive,Hydrogen loss,Al-organic_hybrid,High
C10H26OAl-,189.180453,negative,Molecular anion,Al-organic_hybrid,High
[C10H27OAl-H]-,189.180453,negative,Deprotonated,Al-organic_hybrid,High
C2H31O5Al2-,189.180777,negative,Molecular anion,Al-organic_hybrid,High
[C2H32O5Al2-H]-,189.180777,negative,Deprotonated,Al-organic_hybrid,High
[C4H32Al4+H]+,189.183832,positive,Protonated,Al-organic_hybrid,High
C4H33Al4+,189.183832,positive,Molecular ion,Al-organic_hybrid,High
[C4H34Al4-H]+,189.183832,positive,Hydrogen loss,Al-organic_hybrid,High
C4H33Al4-,189.18493,negative,Molecular anion,Al-organic_hybrid,High
[C4H34Al4-H]-,189.18493,negative,Deprotonated,Al-organic_hybrid,High
[C3H29O6Al+H]+,189.18523,positive,Protonated,Al-organic_hybrid,High
C3H30O6Al+,189.18523,positive,Molecular ion,Al-organic_hybrid,High
[C3H31O6Al-H]+,189.18523,positive,Hydrogen loss,Al-organic_hybrid,High
C3H30O6Al-,189.186328,negative,Molecular anion,Al-organic_hybrid,High
[C3H31O6Al-H]-,189.186328,negative,Deprotonated,Al-organic_hybrid,High
C5H32OAl3+,189.189383,positive,Molecular ion,Al-organic_hybrid,High
[C5H31OAl3+H]+,189.18938300000002,positive,Protonated,Al-organic_hybrid,High
[C5H33OAl3-H]+,189.18938300000002,positive,Hydrogen loss,Al-organic_hybrid,High
C5H32OAl3-,189.190481,negative,Molecular anion,Al-organic_hybrid,High
[C5H33OAl3-H]-,189.19048100000003,negative,Deprotonated,Al-organic_hybrid,High
[C6H30O2Al2+H]+,189.194934,positive,Protonated,Al-organic_hybrid,High
C6H31O2Al2+,189.194934,positive,Molecular ion,Al-organic_hybrid,High
[C6H32O2Al2-H]+,189.194934,positive,Hydrogen loss,Al-organic_hybrid,High
C6H31O2Al2-,189.196032,negative,Molecular anion,Al-organic_hybrid,High
[C6H32O2Al2-H]-,189.196032,negative,Deprotonated,Al-organic_hybrid,High
[H37OAl5+H]+,189.199411,positive,Protonated,Aluminum_oxide,High
[H39OAl5-H]+,189.199411,positive,Hydrogen loss,Aluminum_oxide,High
H38OAl5+,189.19941100000003,positive,Molecular ion,Aluminum_oxide,High
[C7H29O3Al+H]+,189.200485,positive,Protonated,Al-organic_hybrid,High
C7H30O3Al+,189.200485,positive,Molecular ion,Al-organic_hybrid,High
[C7H31O3Al-H]+,189.20048500000001,positive,Hydrogen loss,Al-organic_hybrid,High
[H39OAl5-H]-,189.200509,negative,Deprotonated,Aluminum_oxide,High
H38OAl5-,189.20050900000004,negative,Molecular anion,Aluminum_oxide,High
C7H30O3Al-,189.201583,negative,Molecular anion,Al-organic_hybrid,High
[C7H31O3Al-H]-,189.20158300000003,negative,Deprotonated,Al-organic_hybrid,High
[CH36O2Al4+H]+,189.204962,positive,Protonated,Al-organic_hybrid,High
CH37O2Al4+,189.204962,positive,Molecular ion,Al-organic_hybrid,High
[CH38O2Al4-H]+,189.20496200000002,positive,Hydrogen loss,Al-organic_hybrid,High
CH37O2Al4-,189.20606,negative,Molecular anion,Al-organic_hybrid,High
[CH38O2Al4-H]-,189.20606000000004,negative,Deprotonated,Al-organic_hybrid,High
[H33O8Al+H]+,189.20636,positive,Protonated,Aluminum_oxide,High
H34O8Al+,189.20636,positive,Molecular ion,Aluminum_oxide,High
[H35O8Al-H]+,189.20636,positive,Hydrogen loss,Aluminum_oxide,High
H34O8Al-,189.207458,negative,Molecular anion,Aluminum_oxide,High
[H35O8Al-H]-,189.207458,negative,Deprotonated,Aluminum_oxide,High
[C2H35O3Al3+H]+,189.210513,positive,Protonated,Al-organic_hybrid,High
[C2H37O3Al3-H]+,189.210513,positive,Hydrogen loss,Al-organic_hybrid,High
C2H36O3Al3+,189.21051300000002,positive,Molecular ion,Al-organic_hybrid,High
[C2H37O3Al3-H]-,189.211611,negative,Deprotonated,Al-organic_hybrid,High
C2H36O3Al3-,189.21161100000003,negative,Molecular anion,Al-organic_hybrid,High
[C11H29Al+H]+,189.21573999999998,positive,Protonated,Al-organic_hybrid,High
C11H30Al+,189.21573999999998,positive,Molecular ion,Al-organic_hybrid,High
[C11H31Al-H]+,189.21573999999998,positive,Hydrogen loss,Al-organic_hybrid,High
[C3H34O4Al2+H]+,189.216064,positive,Protonated,Al-organic_hybrid,High
C3H35O4Al2+,189.216064,positive,Molecular ion,Al-organic_hybrid,High
[C3H36O4Al2-H]+,189.216064,positive,Hydrogen loss,Al-organic_hybrid,High
C11H30Al-,189.216838,negative,Molecular anion,Al-organic_hybrid,High
[C11H31Al-H]-,189.216838,negative,Deprotonated,Al-organic_hybrid,High
C3H35O4Al2-,189.217162,negative,Molecular anion,Al-organic_hybrid,High
[C3H36O4Al2-H]-,189.217162,negative,Deprotonated,Al-organic_hybrid,High
[C4H33O5Al+H]+,189.22161499999999,positive,Protonated,Al-organic_hybrid,High
[C4H35O5Al-H]+,189.22161499999999,positive,Hydrogen loss,Al-organic_hybrid,High
C4H34O5Al+,189.221615,positive,Molecular ion,Al-organic_hybrid,High
[C4H35O5Al-H]-,189.222713,negative,Deprotonated,Al-organic_hybrid,High
C4H34O5Al-,189.22271300000003,negative,Molecular anion,Al-organic_hybrid,High
C6H36Al3+,189.225768,positive,Molecular ion,Al-organic_hybrid,High
[C6H35Al3+H]+,189.22576800000002,positive,Protonated,Al-organic_hybrid,High
[C6H37Al3-H]+,189.22576800000002,positive,Hydrogen loss,Al-organic_hybrid,High
C6H36Al3-,189.226866,negative,Molecular anion,Al-organic_hybrid,High
[C6H37Al3-H]-,189.22686600000003,negative,Deprotonated,Al-organic_hybrid,High
[C7H34OAl2+H]+,189.23131899999998,positive,Protonated,Al-organic_hybrid,High
C7H35OAl2+,189.23131899999998,positive,Molecular ion,Al-organic_hybrid,High
[C7H36OAl2-H]+,189.23131899999998,positive,Hydrogen loss,Al-organic_hybrid,High
C7H35OAl2-,189.232417,negative,Molecular anion,Al-organic_hybrid,High
[C7H36OAl2-H]-,189.232417,negative,Deprotonated,Al-organic_hybrid,High
[CH41Al5+H]+,189.235796,positive,Protonated,Al-organic_hybrid,High
CH42Al5+,189.23579600000002,positive,Molecular ion,Al-organic_hybrid,High
[CH43Al5-H]+,189.23579600000002,positive,Hydrogen loss,Al-organic_hybrid,High
[C8H33O2Al+H]+,189.23686999999998,positive,Protonated,Al-organic_hybrid,High
C8H34O2Al+,189.23687,positive,Molecular ion,Al-organic_hybrid,High
[C8H35O2Al-H]+,189.23687,positive,Hydrogen loss,Al-organic_hybrid,High
CH42Al5-,189.23689400000004,negative,Molecular anion,Al-organic_hybrid,High
[CH43Al5-H]-,189.23689400000004,negative,Deprotonated,Al-organic_hybrid,High
[H38O6Al2+H]+,189.237194,positive,Protonated,Aluminum_oxide,High
H39O6Al2+,189.237194,positive,Molecular ion,Aluminum_oxide,High
[H40O6Al2-H]+,189.237194,positive,Hydrogen loss,Aluminum_oxide,High
C8H34O2Al-,189.23796800000002,negative,Molecular anion,Al-organic_hybrid,High
[C8H35O2Al-H]-,189.23796800000002,negative,Deprotonated,Al-organic_hybrid,High
H39O6Al2-,189.238292,negative,Molecular anion,Aluminum_oxide,High
[H40O6Al2-H]-,189.238292,negative,Deprotonated,Aluminum_oxide,High
C2H41OAl4+,189.241347,positive,Molecular ion,Al-organic_hybrid,High
[C2H40OAl4+H]+,189.24134700000002,positive,Protonated,Al-organic_hybrid,High
[C2H42OAl4-H]+,189.24134700000002,positive,Hydrogen loss,Al-organic_hybrid,High
C2H41OAl4-,189.242445,negative,Molecular anion,Al-organic_hybrid,High
[C2H42OAl4-H]-,189.24244500000003,negative,Deprotonated,Al-organic_hybrid,High
[CH37O7Al+H]+,189.24274499999999,positive,Protonated,Al-organic_hybrid,High
CH38O7Al+,189.24274499999999,positive,Molecular ion,Al-organic_hybrid,High
[CH39O7Al-H]+,189.24274499999999,positive,Hydrogen loss,Al-organic_hybrid,High
CH38O7Al-,189.243843,negative,Molecular anion,Al-organic_hybrid,High
[CH39O7Al-H]-,189.243843,negative,Deprotonated,Al-organic_hybrid,High
[C3H39O2Al3+H]+,189.246898,positive,Protonated,Al-organic_hybrid,High
[C3H41O2Al3-H]+,189.246898,positive,Hydrogen loss,Al-organic_hybrid,High
C3H40O2Al3+,189.24689800000002,positive,Molecular ion,Al-organic_hybrid,High
[C3H41O2Al3-H]-,189.247996,negative,Deprotonated,Al-organic_hybrid,High
C3H40O2Al3-,189.24799600000003,negative,Molecular anion,Al-organic_hybrid,High
[C4H38O3Al2+H]+,189.25244899999998,positive,Protonated,Al-organic_hybrid,High
C4H39O3Al2+,189.25244899999998,positive,Molecular ion,Al-organic_hybrid,High
[C4H40O3Al2-H]+,189.252449,positive,Hydrogen loss,Al-organic_hybrid,High
C4H39O3Al2-,189.253547,negative,Molecular anion,Al-organic_hybrid,High
[C4H40O3Al2-H]-,189.25354700000003,negative,Deprotonated,Al-organic_hybrid,High
[C5H37O4Al+H]+,189.25799999999998,positive,Protonated,Al-organic_hybrid,High
C5H38O4Al+,189.25799999999998,positive,Molecular ion,Al-organic_hybrid,High
[C5H39O4Al-H]+,189.25799999999998,positive,Hydrogen loss,Al-organic_hybrid,High
C5H38O4Al-,189.259098,negative,Molecular anion,Al-organic_hybrid,High
[C5H39O4Al-H]-,189.259098,negative,Deprotonated,Al-organic_hybrid,High
[C8H38Al2+H]+,189.26770399999998,positive,Protonated,Al-organic_hybrid,High
C8H39Al2+,189.26770399999998,positive,Molecular ion,Al-organic_hybrid,High
[C8H40Al2-H]+,189.26770399999998,positive,Hydrogen loss,Al-organic_hybrid,High
H44O4Al3+,189.268028,positive,Molecular ion,Aluminum_oxide,High
[H43O4Al3+H]+,189.26802800000002,positive,Protonated,Aluminum_oxide,High
[H45O4Al3-H]+,189.26802800000002,positive,Hydrogen loss,Aluminum_oxide,High
C8H39Al2-,189.268802,negative,Molecular anion,Al-organic_hybrid,High
[C8H40Al2-H]-,189.268802,negative,Deprotonated,Al-organic_hybrid,High
H44O4Al3-,189.269126,negative,Molecular anion,Aluminum_oxide,High
[H45O4Al3-H]-,189.26912600000003,negative,Deprotonated,Aluminum_oxide,High
[C9H37OAl+H]+,189.27325499999998,positive,Protonated,Al-organic_hybrid,High
C9H38OAl+,189.27325499999998,positive,Molecular ion,Al-organic_hybrid,High
[C9H39OAl-H]+,189.27325499999998,positive,Hydrogen loss,Al-organic_hybrid,High
[CH42O5Al2+H]+,189.27357899999998,positive,Protonated,Al-organic_hybrid,High
CH43O5Al2+,189.27357899999998,positive,Molecular ion,Al-organic_hybrid,High
[CH44O5Al2-H]+,189.27357899999998,positive,Hydrogen loss,Al-organic_hybrid,High
C9H38OAl-,189.274353,negative,Molecular anion,Al-organic_hybrid,High
[C9H39OAl-H]-,189.274353,negative,Deprotonated,Al-organic_hybrid,High
CH43O5Al2-,189.274677,negative,Molecular anion,Al-organic_hybrid,High
[CH44O5Al2-H]-,189.274677,negative,Deprotonated,Al-organic_hybrid,High
C3H45Al4+,189.277732,positive,Molecular ion,Al-organic_hybrid,High
[C3H44Al4+H]+,189.27773200000001,positive,Protonated,Al-organic_hybrid,High
[C3H46Al4-H]+,189.27773200000001,positive,Hydrogen loss,Al-organic_hybrid,High
C3H45Al4-,189.27883,negative,Molecular anion,Al-organic_hybrid,High
[C3H46Al4-H]-,189.27883000000003,negative,Deprotonated,Al-organic_hybrid,High
C2H42O6Al+,189.27912999999998,positive,Molecular ion,Al-organic_hybrid,High
[C2H41O6Al+H]+,189.27913,positive,Protonated,Al-organic_hybrid,High
[C2H43O6Al-H]+,189.27913,positive,Hydrogen loss,Al-organic_hybrid,High
C2H42O6Al-,189.280228,negative,Molecular anion,Al-organic_hybrid,High
[C2H43O6Al-H]-,189.28022800000002,negative,Deprotonated,Al-organic_hybrid,High
[C4H43OAl3+H]+,189.283283,positive,Protonated,Al-organic_hybrid,High
C4H44OAl3+,189.283283,positive,Molecular ion,Al-organic_hybrid,High
[C4H45OAl3-H]+,189.283283,positive,Hydrogen loss,Al-organic_hybrid,High
C4H44OAl3-,189.28438100000002,negative,Molecular anion,Al-organic_hybrid,High
[C4H45OAl3-H]-,189.28438100000002,negative,Deprotonated,Al-organic_hybrid,High
[C5H42O2Al2+H]+,189.28883399999998,positive,Protonated,Al-organic_hybrid,High
C5H43O2Al2+,189.288834,positive,Molecular ion,Al-organic_hybrid,High
[C5H44O2Al2-H]+,189.288834,positive,Hydrogen loss,Al-organic_hybrid,High
C5H43O2Al2-,189.28993200000002,negative,Molecular anion,Al-organic_hybrid,High
[C5H44O2Al2-H]-,189.28993200000002,negative,Deprotonated,Al-organic_hybrid,High
[C6H41O3Al+H]+,189.29438499999998,positive,Protonated,Al-organic_hybrid,High
C6H42O3Al+,189.294385,positive,Molecular ion,Al-organic_hybrid,High
[C6H43O3Al-H]+,189.294385,positive,Hydrogen loss,Al-organic_hybrid,High
C6H42O3Al-,189.29548300000002,negative,Molecular anion,Al-organic_hybrid,High
[C6H43O3Al-H]-,189.29548300000002,negative,Deprotonated,Al-organic_hybrid,High
[H48O2Al4+H]+,189.29886199999999,positive,Protonated,Aluminum_oxide,High
[H50O2Al4-H]+,189.29886199999999,positive,Hydrogen loss,Aluminum_oxide,High
H49O2Al4+,189.298862,positive,Molecular ion,Aluminum_oxide,High
[H50O2Al4-H]-,189.29996,negative,Deprotonated,Aluminum_oxide,High
H49O2Al4-,189.29996000000003,negative,Molecular anion,Aluminum_oxide,High
CH48O3Al3+,189.30441299999998,positive,Molecular ion,Al-organic_hybrid,High
[CH47O3Al3+H]+,189.304413,positive,Protonated,Al-organic_hybrid,High
[CH49O3Al3-H]+,189.304413,positive,Hydrogen loss,Al-organic_hybrid,High
CH48O3Al3-,189.305511,negative,Molecular anion,Al-organic_hybrid,High
[CH49O3Al3-H]-,189.30551100000002,negative,Deprotonated,Al-organic_hybrid,High
C10H42Al+,189.30963999999997,positive,Molecular ion,Al-organic_hybrid,High
[C10H41Al+H]+,189.30964,positive,Protonated,Al-organic_hybrid,High
[C10H43Al-H]+,189.30964,positive,Hydrogen loss,Al-organic_hybrid,High
[C2H46O4Al2+H]+,189.30996399999998,positive,Protonated,Al-organic_hybrid,High
C2H47O4Al2+,189.30996399999998,positive,Molecular ion,Al-organic_hybrid,High
[C2H48O4Al2-H]+,189.30996399999998,positive,Hydrogen loss,Al-organic_hybrid,High
C10H42Al-,189.310738,negative,Molecular anion,Al-organic_hybrid,High
[C10H43Al-H]-,189.31073800000001,negative,Deprotonated,Al-organic_hybrid,High
C2H47O4Al2-,189.311062,negative,Molecular anion,Al-organic_hybrid,High
[C2H48O4Al2-H]-,189.311062,negative,Deprotonated,Al-organic_hybrid,High
C3H46O5Al+,189.31551499999998,positive,Molecular ion,Al-organic_hybrid,High
[C3H45O5Al+H]+,189.315515,positive,Protonated,Al-organic_hybrid,High
[C3H47O5Al-H]+,189.315515,positive,Hydrogen loss,Al-organic_hybrid,High
C3H46O5Al-,189.316613,negative,Molecular anion,Al-organic_hybrid,High
[C3H47O5Al-H]-,189.31661300000002,negative,Deprotonated,Al-organic_hybrid,High
[C5H47Al3+H]+,189.31966799999998,positive,Protonated,Al-organic_hybrid,High
[C5H49Al3-H]+,189.31966799999998,positive,Hydrogen loss,Al-organic_hybrid,High
C5H48Al3+,189.319668,positive,Molecular ion,Al-organic_hybrid,High
[C5H49Al3-H]-,189.320766,negative,Deprotonated,Al-organic_hybrid,High
C5H48Al3-,189.32076600000002,negative,Molecular anion,Al-organic_hybrid,High
[C6H46OAl2+H]+,189.32521899999998,positive,Protonated,Al-organic_hybrid,High
C6H47OAl2+,189.32521899999998,positive,Molecular ion,Al-organic_hybrid,High
[C6H48OAl2-H]+,189.32521899999998,positive,Hydrogen loss,Al-organic_hybrid,High
C6H47OAl2-,189.326317,negative,Molecular anion,Al-organic_hybrid,High
[C6H48OAl2-H]-,189.326317,negative,Deprotonated,Al-organic_hybrid,High
[C7H45O2Al+H]+,189.33077,positive,Protonated,Al-organic_hybrid,High
C7H46O2Al+,189.33077,positive,Molecular ion,Al-organic_hybrid,High
[C7H47O2Al-H]+,189.33077,positive,Hydrogen loss,Al-organic_hybrid,High
C7H46O2Al-,189.33186800000001,negative,Molecular anion,Al-organic_hybrid,High
[C7H47O2Al-H]-,189.33186800000001,negative,Deprotonated,Al-organic_hybrid,High
[H49O7Al+H]+,189.33664499999998,positive,Protonated,Aluminum_oxide,High
H50O7Al+,189.336645,positive,Molecular ion,Aluminum_oxide,High
H50O7Al-,189.33774300000002,negative,Molecular anion,Aluminum_oxide,High
[C3H50O3Al2+H]+,189.34634899999998,positive,Protonated,Al-organic_hybrid,High
[C4H49O4Al+H]+,189.35189999999997,positive,Protonated,Al-organic_hybrid,High
C4H50O4Al+,189.3519,positive,Molecular ion,Al-organic_hybrid,High
C4H50O4Al-,189.352998,negative,Molecular anion,Al-organic_hybrid,High
[C7H50Al2+H]+,189.361604,positive,Protonated,Al-organic_hybrid,High
[C8H49OAl+H]+,189.36715499999997,positive,Protonated,Al-organic_hybrid,High
C8H50OAl+,189.367155,positive,Molecular ion,Al-organic_hybrid,High
C8H50OAl-,189.368253,negative,Molecular anion,Al-organic_hybrid,High
[HO5Al4+H]+,189.915832,positive,Protonated,Aluminum_oxide,High
H2O5Al4+,189.915832,positive,Molecular ion,Aluminum_oxide,High
[H3O5Al4-H]+,189.91583200000002,positive,Hydrogen loss,Aluminum_oxide,High
H2O5Al4-,189.91693,negative,Molecular anion,Aluminum_oxide,High
[H3O5Al4-H]-,189.91693000000004,negative,Deprotonated,Aluminum_oxide,High
[CO6Al3+H]+,189.921383,positive,Protonated,Al-organic_hybrid,High
[CH2O6Al3-H]+,189.921383,positive,Hydrogen loss,Al-organic_hybrid,High
CHO6Al3+,189.92138300000002,positive,Molecular ion,Al-organic_hybrid,High
[CH2O6Al3-H]-,189.922481,negative,Deprotonated,Al-organic_hybrid,High
CHO6Al3-,189.92248100000003,negative,Molecular anion,Al-organic_hybrid,High
C3H3OAl5+,189.925536,positive,Molecular ion,Al-organic_hybrid,High
[C3H2OAl5+H]+,189.92553600000002,positive,Protonated,Al-organic_hybrid,High
[C3H4OAl5-H]+,189.92553600000002,positive,Hydrogen loss,Al-organic_hybrid,High
C3H3OAl5-,189.926634,negative,Molecular anion,Al-organic_hybrid,High
[C3H4OAl5-H]-,189.92663400000004,negative,Deprotonated,Al-organic_hybrid,High
C2O7Al2+,189.926934,positive,Molecular ion,Al-organic_hybrid,High
[C2HO7Al2-H]+,189.926934,positive,Hydrogen loss,Al-organic_hybrid,High
C2O7Al2-,189.928032,negative,Molecular anion,Al-organic_hybrid,High
[C2HO7Al2-H]-,189.928032,negative,Deprotonated,Al-organic_hybrid,High
[C4HO2Al4+H]+,189.931087,positive,Protonated,Al-organic_hybrid,High
[C4H3O2Al4-H]+,189.931087,positive,Hydrogen loss,Al-organic_hybrid,High
C4H2O2Al4+,189.93108700000002,positive,Molecular ion,Al-organic_hybrid,High
[C4H3O2Al4-H]-,189.932185,negative,Deprotonated,Al-organic_hybrid,High
C4H2O2Al4-,189.93218500000003,negative,Molecular anion,Al-organic_hybrid,High
C5HO3Al3+,189.936638,positive,Molecular ion,Al-organic_hybrid,High
[C5O3Al3+H]+,189.93663800000002,positive,Protonated,Al-organic_hybrid,High
[C5H2O3Al3-H]+,189.93663800000002,positive,Hydrogen loss,Al-organic_hybrid,High
C5HO3Al3-,189.937736,negative,Molecular anion,Al-organic_hybrid,High
[C5H2O3Al3-H]-,189.93773600000003,negative,Deprotonated,Al-organic_hybrid,High
C6O4Al2+,189.94218899999998,positive,Molecular ion,Al-organic_hybrid,High
[C6HO4Al2-H]+,189.94218899999998,positive,Hydrogen loss,Al-organic_hybrid,High
C6O4Al2-,189.943287,negative,Molecular anion,Al-organic_hybrid,High
[C6HO4Al2-H]-,189.943287,negative,Deprotonated,Al-organic_hybrid,High
[H6O3Al5+H]+,189.94666600000002,positive,Protonated,Aluminum_oxide,High
H7O3Al5+,189.94666600000002,positive,Molecular ion,Aluminum_oxide,High
[H8O3Al5-H]+,189.94666600000002,positive,Hydrogen loss,Aluminum_oxide,High
H7O3Al5-,189.94776400000003,negative,Molecular anion,Aluminum_oxide,High
[H8O3Al5-H]-,189.94776400000003,negative,Deprotonated,Aluminum_oxide,High
[C9Al3+H]+,189.95189299999998,positive,Protonated,Al-organic_hybrid,High
[C9H2Al3-H]+,189.95189299999998,positive,Hydrogen loss,Al-organic_hybrid,High
C9HAl3+,189.951893,positive,Molecular ion,Al-organic_hybrid,High
CH6O4Al4+,189.952217,positive,Molecular ion,Al-organic_hybrid,High
[CH5O4Al4+H]+,189.95221700000002,positive,Protonated,Al-organic_hybrid,High
[CH7O4Al4-H]+,189.95221700000002,positive,Hydrogen loss,Al-organic_hybrid,High
[C9H2Al3-H]-,189.952991,negative,Deprotonated,Al-organic_hybrid,High
C9HAl3-,189.95299100000003,negative,Molecular anion,Al-organic_hybrid,High
CH6O4Al4-,189.953315,negative,Molecular anion,Al-organic_hybrid,High
[CH7O4Al4-H]-,189.95331500000003,negative,Deprotonated,Al-organic_hybrid,High
[H2O10Al+H]+,189.95361499999999,positive,Protonated,Aluminum_oxide,High
H3O10Al+,189.95361499999999,positive,Molecular ion,Aluminum_oxide,High
[H4O10Al-H]+,189.95361499999999,positive,Hydrogen loss,Aluminum_oxide,High
H3O10Al-,189.954713,negative,Molecular anion,Aluminum_oxide,High
[H4O10Al-H]-,189.954713,negative,Deprotonated,Aluminum_oxide,High
C10OAl2+,189.95744399999998,positive,Molecular ion,Al-organic_hybrid,High
[C10HOAl2-H]+,189.95744399999998,positive,Hydrogen loss,Al-organic_hybrid,High
[C2H4O5Al3+H]+,189.957768,positive,Protonated,Al-organic_hybrid,High
[C2H6O5Al3-H]+,189.957768,positive,Hydrogen loss,Al-organic_hybrid,High
